angulo,velocidad,torque
2.78478828295707,4.59380332292675,-0.3
2.83072631618634,4.46512597729013,-0.3
2.87537757595924,4.31516186545811,-0.3
2.91852919461382,4.14420345737177,-0.3
2.95997122918754,3.95271099241183,-0.3
2.99949833911166,3.74130734182023,-0.3
3.03691141252986,3.51077029922613,-0.3
3.07201911552212,3.26202272276227,-0.3
3.10463934274975,2.99612101897088,-0.3
3.13460055293945,2.71424249299281,-0.3
-3.1214423293102,2.41767209041644,-0.3
-3.09726560840604,2.70778902520165,0.3
-3.07018771815402,2.98605372907094,0.3
-3.04032718086331,3.25105936336181,0.3
-3.0078165872297,3.50147349848488,0.3
-2.97280185224485,3.73605187739464,0.3
-2.9354413334709,3.95365255779621,0.3
-2.89590480789294,4.15325003437758,0.3
-2.85437230754916,4.33394887224303,0.3
-2.81103281882673,4.4949963351231,0.3
-2.7660828554755,4.63579347238116,0.3
-2.71972492075169,4.75590414122969,0.3
-2.67216587933939,4.85506148660406,0.3
-2.62361526447335,4.93317147989437,0.3
-2.57428354967441,4.99031322550195,0.3
-2.52438041741939,5.02673587462686,0.3
-2.47411305867312,5.04285213029203,0.3
-2.4236845373702,5.03922847642929,0.3
-2.37329225260591,5.01657240647009,0.3
-2.32312652854121,4.97571705341521,0.3
-2.27336935800705,4.91760372542809,0.3
-2.22419332075277,4.84326292250472,0.3
-2.17576069152773,4.75379444739842,0.3
-2.12822274705374,4.65034722731752,0.3
-2.08171927478057,4.53409943431497,0.3
-2.03637828043742,4.40623943637254,0.3
-1.99231588607369,4.26794803418415,0.3
-1.94963640573185,4.12038234765976,0.3
-1.90843258225525,3.96466161841502,0.3
-1.8687859660711,3.80185509667022,0.3
-1.8307674151044,3.63297208873302,0.3
-1.79443769421707,3.4589541589495,0.3
-1.75984815262758,3.28066941061973,0.3
-1.72704145852138,3.0989087154411,0.3
-1.69605237136697,2.91438372089367,0.3
-1.66690853415803,2.727726438953,0.3
-1.6396312697685,2.53949020621613,0.3
-1.61423636770634,2.35015180310516,0.3
-1.59073484967529,2.16011452619577,0.3
-1.56913370441333,1.96971202080219,0.3
-1.54943658420531,1.77921269874985,0.3
-1.53164445721781,1.58882458701328,0.3
-1.51575621134768,1.39870047508961,0.3
-1.50176920659678,1.20894325140559,0.3
-1.48967977408273,1.01961134079116,0.3
-1.47948366067481,0.830724175422375,0.3
-1.47117641892059,0.642267650189607,0.3
-1.46475374241869,0.454199529913681,0.3
